Title,Description
"France, Annemasse, Grand Salève, Teilansicht","Frankreich. Landschaft. Eine hohe Felswand, davor liebliche Wiesengründe: am Salève, Nordwand"
"Porträt, Männliche Person, Schweiz",Schweiz. Sonntagsfreuden. Drei Herren in einem kleinen Boot startbereit
katholische kirche,katholische Kirche in flerden
Kläranlage,So wird in Graubünden Abwasser gereinigt.
Hotel,Jugendstilhotel mit Bergen
Bahnhof,Neu und alt kombiniert
Schulhaus,Schulhaus in Almens
Kirche,kirche in Almens
Kirche,Kirche in flerden
Schloss Chillon,schloss in der schweiz
Montalinschulhaus,schule in chur
Kirchlein Mutten,holzkirche in graubünden
Sprungschanze Vikersund,Skifliegen mal anders
"Thusis, Viamala-Schlucht","Landschaft Sils im Domleschg GR Landschaft des innern Domleschg. Blick von einem Steilhang hinter Thusis aus in nordöstlicher Richtung hinüber nach dem Dorf Sils und dem Piz Danis. Im Mittelgrund die Strassenbrücke über den Hinterrhein (Thusis-Albulatal), (vgl. Bild Nr. 9999)"
"Bormio, Ortsteilansicht","Bormio, Italien. Landschaft mit Felswänden, Schründen, Schluchten, Steilhängen. an dem Hange rechts i.B. eine Gebäudegruppe (alte Bäder von Bormio?)"
"Porträt, Kind, Onsernone",Russo TI. Menschliches. Zwei junge Mädchen (ca. 15-jährig) in schlichter Kleidung
Kläranlage,hier wird Abwasser gereinigt.
"Roma, Piazza San Pietro, Teilansicht","Rom, Italien. Vatikan. Petersplatz. Ansicht des Platzes von einer Stelle vor der Peterskirche aus mit Blick gegen die Säule. Sichtbar ferner die beiden Endpartien der Kolonnaden des Bernini, dazwischen Häuser der Stadt"
"Maderno, Chiesa di Sant'Andrea",Ansicht der Chiesa di Sant'Andrea in Maderno
"Bingen am Rhein, Ortsteilansicht","Ansicht von Bingen am Rhein mit der Drususbrücke, die über die Nahe führt"
"Passo dello Stelvio, Landschaft","Stelvio, Italien. Landschaft. Weitausgedehnte Bergflanke mit fast lauter Felspartien, Stilfserjochstrasse (ital. Seite) zieht sich in gleichmässig-horizontalem Trassé dem Hange entlang, mit mehreren Tunnels und Galerien"
"Vaduz, Schloss Vaduz",Vaduz FL. Das Schloss. Teil-Aussenansicht von Süden: der Saalbau mit An- und Vorbauten
Obere Surselva und Val Medel,"Blick vom Piz Murarun nach Westen Richtung Oberalppass, Dammagletscher und Finsteraarhorn. Unter der Mitte Val Medel. links: Piz Gannaretsch"
"Bärglistock, Panorama",Blick vom Bärglistock auf Wetterhorn und Mättenberg
"Bolzano, Johanneskofel",Ansicht des Johanneskofel über der Sarntalerstrasse
"France, Les Bossons, Ortsgesamtansicht","Ansicht des Dorfes Les Bossons, im Hintergrund der Glacier des Bossons"
"Italia, Milano, Arco della Pace, Gesamtansicht",Arco della Pace in Milano
"Italia, Baveno, Ortsgesamtansicht","Blick auf Baveno, im Vordergrund der Lago Maggiore, im Hintergrund der Monte Molterone"
"Göschenen, Bahnhof, Gotthardbahn","Expresszug im Bahnhof Göschenen, im Vordergrund Passagiere"
"Porträt, Männliche Person, St. Moritz","St. Moritz GR. Militär. Grenzbesetzung 1914/18. Offiziere, UO und Soldaten eines Bündner Bataillons vor einem Chalet gruppiert"
"Furth, Kapelle St. Karl Borromeo",Uors-Peiden (Furth) GR. Dorfbild. Häusergruppe bei der Kapelle vom Fussweg nach Surcasti (Oberkastels) aus. Ansicht von N.
Quaderschulhaus,schule in chur
"Basel, Mittlere Brücke",
Folketheateret in Oslo,norwegen Folketheateret
Arvigo,dorfansicht
"Calancatal, Frau in Bündner Tracht",Sitzende Frau mit Bündner Tracht aus dem Calancatal
"Avers, Cresta, Wasserfall",Blick auf den Wasserfall bei Cresta im Averstal
"Tödi, Panorama",Der Tödi vom Ochsenstock gesehen
"Lugano, Piazza della Riforma","Lugano, Piazza della Reforma, Ansicht gegen Südwesten, Blick auf die Marktstände, links der Palazzo Civico, im Hintergrund Geschäftshäuser"
